Id,height,weight
1,70.49366,129.384
2,65.23482,104.5786
3,67.59619,131.7669
4,68.51919,135.0276
5,67.076,118.4065
6,66.8559,106.8363
7,69.52859,109.7608
8,73.32067,131.1796
9,71.99579,120.0237
10,69.5779,145.1589
11,67.8804,122.2327
12,68.08728,111.6015
13,63.6884,107.0641
14,69.53558,118.5909
15,62.62398,113.6392
16,67.24006,129.7754
17,69.0893,137.7905
18,65.76724,100.2388
19,68.0996,134.1465
20,66.202,116.2268
21,65.95635,107.8398
22,70.06314,139.3579
23,67.9872,121.1185
24,67.80701,131.3478
25,70.38311,159.9758
26,68.06755,112.9757
27,66.61529,120.9979
28,66.985,111.2501
29,68.68065,113.9339
30,68.3495,127.3052
31,67.75988,140.1278
32,69.72804,141.9129
33,66.02949,108.5156
34,64.90194,123.585
35,67.5987,120.4145
36,70.1376,150.2085
37,68.32838,125.0752
38,67.32069,128.9596
39,67.93682,113.7462
40,69.3643,115.9751
41,67.84056,112.9479
42,69.76109,143.2576
43,65.97607,136.9425
44,66.69993,127.0516
45,68.14952,119.4716
46,66.3421,120.0586
47,68.10575,121.9841
48,66.60452,129.8988
49,68.18873,127.1719
50,64.92037,107.1751
51,68.24432,112.2308
52,66.70636,133.6125
53,65.74458,118.6861
54,68.53037,127.7893
55,68.20539,116.9375
56,70.39798,119.4655
57,69.79829,126.6311
58,65.01832,115.0837
59,70.13374,131.169
60,68.76169,132.1914
61,68.65082,122.8115
62,69.36148,118.6402
63,66.61356,115.4581
64,71.06812,136.7636
65,68.26736,129.9806
66,67.88412,131.1011
67,69.70884,135.1988
68,70.13299,125.7628
69,64.08148,119.2167
70,68.62782,115.5711
71,67.2625,129.1298
72,65.09077,111.4222
73,67.33457,110.3688
74,67.50241,129.6194
75,68.79866,113.9144
76,66.12316,131.3628
77,69.22334,147.1708
78,67.3835,146.1098
79,68.15534,119.4984
80,68.85235,130.6387
81,69.29679,137.3539
82,70.09673,141.5957
83,66.21688,118.3435
84,67.32259,111.9082
85,66.39979,114.3961
86,68.14008,128.6282
87,68.9858,133.0763
88,64.61603,113.1176
89,67.59159,134.3476
90,67.66008,144.2397
91,67.0862,115.6875
92,67.1994,125.7923
93,66.23707,119.442
94,70.00383,138.3081
95,69.52902,123.5902
96,65.33382,129.7622
97,65.67362,133.5732
98,68.14304,104.2278
99,70.02962,134.5618
100,67.03314,100.0056
101,70.38299,131.0126
102,68.21868,135.9646
103,67.51121,115.6791
104,67.9537,126.585
105,67.27659,102.4448
106,66.50286,137.7408
107,68.55692,119.8364
108,69.1349,133.9896
109,68.38333,120.7131
110,68.98651,128.5798
111,67.6327,121.2978
112,69.137,123.3187
113,70.84883,125.1626
114,69.51645,140.1555
115,68.36341,116.9069
116,67.98947,116.3439
117,66.70355,122.2617
118,67.11208,124.9627
119,67.27509,123.7572
120,65.93383,132.1972
121,68.2623,127.3359
122,66.03415,136.0093
123,66.40429,130.1516
124,67.05552,136.2774
125,68.28918,135.4869
126,67.69388,115.6799
127,65.07971,133.4616
128,67.90838,136.5008
129,68.77267,126.5212
130,65.91428,121.6722
131,73.26872,130.2636
132,67.25836,113.6762
133,67.55476,138.0942
134,66.63689,128.8981
135,70.46449,121.1387
136,68.38613,140.6401
137,67.4203,122.0798
138,71.5009,148.2703
139,67.08079,125.6528
140,65.78148,107.3133
141,66.34128,128.7754
142,71.64258,154.3787
143,66.22516,101.8528
144,68.8736,135.5056
145,66.51348,127.1042
146,65.84079,119.5386
147,70.47312,126.8411
148,71.32591,132.3678
149,68.09486,128.0449
150,69.76777,137.657
151,69.6794,140.4675
152,69.04845,144.0225
153,64.22026,127.7241
154,70.0064,133.8839
155,67.19227,115.3758
156,70.02533,139.9395
157,69.08046,138.2492
158,66.64692,120.2193
159,63.36047,101.3858
160,69.26124,130.3283
161,65.51072,115.8503
162,68.7151,125.9951
163,64.72033,119.4164
164,67.235,122.7841
165,69.5217,126.8198
166,67.36318,131.4997
167,64.1913,123.1259
168,66.92149,109.5993
169,66.52176,114.8809
170,69.5192,131.5346
171,69.48224,135.7121
172,70.70642,148.5372
173,69.24498,131.2336
174,68.95044,125.9445
175,69.25373,142.7731
176,70.47954,134.4949
177,66.1487,120.3851
178,66.28781,128.8133
179,68.2452,128.5214
180,69.87287,126.1665
181,65.2308,116.3007
182,69.56807,131.7272
183,66.99756,122.3414
184,69.13583,118.2087
185,70.95408,136.2602
186,67.54727,127.846
187,69.72084,129.8715
188,69.18392,125.2414
189,68.61516,135.9551
190,67.44093,132.8781
191,66.77663,128.4905
192,69.42068,131.768
